"ID","Name","RA","DEC","Obj. Type","Redshift","Host Name","Host Redshift","Reporting Group/s","Discovery Data Source/s","Classifying Group/s","Associated Group/s","Disc. Internal Name","Disc. Instrument/s","Class. Instrument/s","TNS AT","Public","End Prop. Period","Discovery Mag/Flux","Discovery Filter","Discovery Date (UT)","Sender","Remarks","Ext. catalog/s"
"79305","SN 2021fxf","18:33:54.210","-60:08:05.86","SN Ic","0.013","","","GaiaAlerts","GaiaAlerts","ePESSTO+","GaiaAlerts","Gaia21bjh","Gaia - Gaia-photometric","ESO-NTT - EFOSC2-NTT","1","1","","18.2","G-Gaia","2021-03-16 04:03:21.600","Gaia_Bot1","",""
"77883","SN 2021dwg","14:18:15.969","+00:53:18.35","SN Ic","0.026","IC 0992","0.025839","ALeRCE, ATLAS, Pan-STARRS1, Fink","ZTF, ATLAS, Pan-STARRS1","ePESSTO+","ATLAS; Pan-STARRS1; ZTF","ZTF21aannoix","ATLAS1 - ACAM1, P48 - ZTF-Cam, PS1 - GPC1","ESO-NTT - EFOSC2-NTT","1","1","","18.4405","g-ZTF","2021-02-27 10:05:24.996","ALeRCE","",""
"77526","SN 2021diu","16:02:39.952","+15:45:43.59","SN Ic","0.037372","GIN 464","0.037372","ALeRCE, ATLAS","ZTF, ATLAS","TCD, ZTF","ATLAS; ZTF","ZTF21aalkjbl","ATLAS1 - ACAM1, P48 - ZTF-Cam","LT - SPRAT, P60 - SEDM","1","1","","19.3149","g-ZTF","2021-02-19 11:58:06.004","ALeRCE","",""
"77302","SN 2021dah","02:36:49.696","+45:23:18.26","SN Ic","0.018","SDSS J023649.07+452320.6","","ALeRCE, ATLAS, Fink","ZTF, ATLAS","TCD","ATLAS; ZTF","ZTF21aakymbv","ATLAS1 - ACAM1, P48 - ZTF-Cam","LT - SPRAT","1","1","","19.2971","g-ZTF","2021-02-15 04:16:09.998","ALeRCE","",""
"77090","SN 2021cse","14:53:18.735","+09:31:31.59","SN Ic","0.0375","CGCG 076-085","","ALeRCE","ZTF","AZTEC","ZTF","ZTF21aakigrh","P48 - ZTF-Cam","MMT - BINOSPEC","1","1","","19.3438","r-ZTF","2021-02-11 10:35:49.004","ALeRCE","",""
"76519","SN 2021bwq","11:28:17.072","-12:53:17.59","SN Ic","0.022015","IC 2856","0.022015","ALeRCE, ATLAS, Fink, Pan-STARRS1","ZTF, ATLAS, Pan-STARRS1","ePESSTO+, ZTF","ATLAS; Pan-STARRS1; ZTF","ZTF21aahdqrg","ATLAS1 - ACAM1, P48 - ZTF-Cam, PS1 - GPC1","ESO-NTT - EFOSC2-NTT, P60 - SEDM","1","1","","18.6966","g-ZTF","2021-02-05 08:32:58.998","ALeRCE","",""
"75085","SN 2021vz","15:21:26.851","+36:46:04.03","SN Ic","0.045","SDSS J152126.71+364605.9","0.068","ALeRCE, ATLAS, Pan-STARRS1","ZTF, ATLAS, Pan-STARRS1","ZTF","ATLAS; Pan-STARRS1; ZTF","ZTF21aacufip","ATLAS1 - ACAM1, P48 - ZTF-Cam, PS1 - GPC1","P200 - DBSP","1","1","","18.958","r-ZTF","2021-01-09 12:17:58.004","ALeRCE","",""
"74863","SN 2021nu","01:52:15.938","+14:36:28.46","SN Ic","0.0441","","","ATLAS, Pan-STARRS1","ATLAS, Pan-STARRS1","ePESSTO+","ATLAS; Pan-STARRS1","ATLAS21apa","ATLAS1 - ACAM1, PS1 - GPC1","ESO-NTT - EFOSC2-NTT","1","1","","19.12","cyan-ATLAS","2021-01-07 06:18:43.200","ATLAS_Bot1","",""
"74552","SN 2021do","10:16:56.518","+73:23:51.02","SN Ic","0.009346","","","ZTF, Pan-STARRS1, Fink","ZTF, Pan-STARRS1","None","Pan-STARRS1; ZTF","ZTF21aaaubig","P48 - ZTF-Cam, PS1 - GPC1","CMO-2.5m - TDS","1","1","","20","g-ZTF","2021-01-02 10:53:45.600","ZTF_Bot1","",""
"74488","SN 2021bm","14:37:47.280","+59:54:25.32","SN Ic","0.031517","","","ZTF, ATLAS, Fink","ZTF, ATLAS","ZTF","ATLAS; ZTF","ZTF21aaaosoq","ATLAS1 - ACAM1, P48 - ZTF-Cam","P60 - SEDM","1","1","","18.66","r-ZTF","2021-01-03 11:16:48.000","ZTF_Bot1","",""
