"ID","Name","RA","DEC","Obj. Type","Redshift","Host Name","Host Redshift","Reporting Group/s","Discovery Data Source/s","Classifying Group/s","Associated Group/s","Disc. Internal Name","Disc. Instrument/s","Class. Instrument/s","TNS AT","Public","End Prop. Period","Discovery Mag/Flux","Discovery Filter","Discovery Date (UT)","Sender","Remarks","Ext. catalog/s"
"74434","SN 2021V","11:13:07.920","+05:04:19.27","SN IIP","0.02706","","","ZTF, ATLAS, Fink, GaiaAlerts, Pan-STARRS1","ZTF, ATLAS, GaiaAlerts, Pan-STARRS1","ZTF","ATLAS; GaiaAlerts; Pan-STARRS1; ZTF","ZTF21aaagypx","ATLAS1 - ACAM1, Gaia - Gaia-photometric, P48 - ZTF-Cam, PS1 - GPC1","P60 - SEDM","1","1","","18.85","r-ZTF","2021-01-02 09:44:38.400","ZTF_Bot1","",""
"74375","SN 2020aeqx","13:13:00.027","+06:10:12.25","SN IIP","0.03179","","","YSE, ALeRCE, ATLAS, Pan-STARRS1","Pan-STARRS1, ZTF, ATLAS","ZTF","ATLAS; Pan-STARRS1; ZTF","PS20nxt","ATLAS1 - ACAM1, P48 - ZTF-Cam, PS1 - GPC1","Keck1 - LRIS","1","1","","19.41","r-Sloan","2020-12-28 15:50:24.000","YSE_Bot1","",""
"74331","SN 2020aeph","12:33:08.483","-38:52:40.34","SN IIP","0.03","","","ATLAS","ATLAS","ePESSTO+","ATLAS","ATLAS20bjqg","ATLAS1 - ACAM1","ESO-NTT - EFOSC2-NTT","1","1","","19.129","cyan-ATLAS","2020-12-22 15:21:36.000","ATLAS_Bot1","",""
"73340","SN 2020addp","00:25:44.332","-08:25:12.73","SN IIP","0.033","","","ZTF, Pan-STARRS1","ZTF, Pan-STARRS1","REFITT","Pan-STARRS1; ZTF","ZTF20acycunv","P48 - ZTF-Cam, PS1 - GPC1","SOAR - Goodman","1","1","","19.8115","g-ZTF","2020-12-16 04:35:00.672","ZTF_CLU_PUBLIC","",""
"72825","SN 2020ackb","15:41:56.070","+16:09:03.89","SN IIP","0.033707","WISEA J154156.09+160900.1","0.033707","ALeRCE, GaiaAlerts, ZTF, ATLAS","ZTF, GaiaAlerts, ATLAS","ZTF","ATLAS; GaiaAlerts; ZTF","ZTF20acwytht","ATLAS1 - ACAM1, Gaia - Gaia-photometric, P48 - ZTF-Cam","P60 - SEDM","1","1","","18.5025","r-ZTF","2020-12-11 13:17:09.001","ALeRCE","",""
"71701","SN 2020aavm","07:46:43.679","+18:06:48.81","SN IIP","0.045","","","ATLAS, ZTF, Pan-STARRS1","ATLAS, ZTF, Pan-STARRS1","REFITT","ATLAS; Pan-STARRS1; ZTF","ATLAS20bgaf","ATLAS1 - ACAM1, P48 - ZTF-Cam, PS1 - GPC1","SOAR - Goodman","1","1","","19.12","cyan-ATLAS","2020-11-22 14:47:02.400","ATLAS_Bot1","",""
"71652","SN 2020aatp","13:22:51.403","+51:44:12.85","SN IIP","0.029695","MRK 0254","0.029695","ALeRCE, ZTF, Pan-STARRS1","ZTF, Pan-STARRS1","REFITT","Pan-STARRS1; ZTF","ZTF20acrrssy","P48 - ZTF-Cam, PS1 - GPC1","MDM-2.4 - OSMOS","1","1","","19.1367","r-ZTF","2020-11-18 11:47:09.001","ALeRCE","",""
"70716","SN 2020zkx","11:18:31.840","+06:44:28.84","SN IIP","0.03","WISEA J111832.30+064427.3","0.028508","ALeRCE, ATLAS, ZTF, Pan-STARRS1","ZTF, ATLAS, Pan-STARRS1","SCAT","ATLAS; Pan-STARRS1; ZTF","ZTF20acnvtxy","ATLAS1 - ACAM1, P48 - ZTF-Cam, PS1 - GPC1","UH88 - SNIFS","1","1","","18.9122","r-ZTF","2020-11-12 11:37:35.996","ALeRCE","",""
"70677","SN 2020zjk","05:22:00.028","-07:11:20.74","SN IIP","0.0368","WISEA J052200.10-071132.9","0.036882","ALeRCE, Pan-STARRS1, ATLAS","ZTF, Pan-STARRS1, ATLAS","REFITT","ATLAS; Pan-STARRS1; ZTF","ZTF20acptgfl","ATLAS1 - ACAM1, P48 - ZTF-Cam, PS1 - GPC1","SOAR - Goodman","1","1","","19.7976","r-ZTF","2020-11-12 08:09:32.000","ALeRCE","",""
"70479","SN 2020zbv","03:44:28.620","-44:39:25.93","SN IIP","0.0039","NGC1448","","DLT40","DLT40","DLT40","DLT40","DLT20u","Other - Other","Gemini-S - GMOS-S","1","1","","18.83","Clear-","2020-11-10 04:07:48.576","DLT40_bot1","",""
