"ID","Name","RA","DEC","Obj. Type","Redshift","Host Name","Host Redshift","Reporting Group/s","Discovery Data Source/s","Classifying Group/s","Associated Group/s","Disc. Internal Name","Disc. Instrument/s","Class. Instrument/s","TNS AT","Public","End Prop. Period","Discovery Mag/Flux","Discovery Filter","Discovery Date (UT)","Sender","Remarks","Ext. catalog/s"
"78477","SN 2021esi","06:50:03.350","+27:29:09.95","SN IIb","0.03","","","ZTF, Pan-STARRS1","ZTF, Pan-STARRS1","None","Pan-STARRS1; ZTF","ZTF21aaoiaar","P48 - ZTF-Cam, PS1 - GPC1","NOT - ALFOSC","1","1","","18.63","r-ZTF","2021-03-07 03:36:00.000","ZTF_Bot1","",""
"76549","SN 2021bxu","02:09:16.455","-23:24:45.40","SN IIb","0.0178","","","ATLAS, Pan-STARRS1","ATLAS, Pan-STARRS1","POISE","ATLAS; Pan-STARRS1","ATLAS21dov","ATLAS1 - ACAM1, PS1 - GPC1","APO-3.5m - DIS","1","1","","17.23","cyan-ATLAS","2021-02-06 06:38:52.800","ATLAS_Bot1","",""
"74955","SN 2021rf","09:37:24.894","+42:58:28.27","SN IIb","0.027172","","","ZTF, Pan-STARRS1, ATLAS","ZTF, Pan-STARRS1, ATLAS","ZTF","ATLAS; Pan-STARRS1; ZTF","ZTF21aaabrpu","ATLAS1 - ACAM1, P48 - ZTF-Cam, PS1 - GPC1","Keck1 - LRIS","1","1","","18.826","g-ZTF","2021-01-01 10:10:28.416","ZTF_CLU_PUBLIC","",""
"74898","SN 2021pb","09:44:46.810","+51:41:14.52","SN IIb","0.03317803","","","ZTF, ATLAS, Pan-STARRS1","ZTF, ATLAS, Pan-STARRS1","ZTF","ATLAS; Pan-STARRS1; ZTF","ZTF21aabxjqr","ATLAS1 - ACAM1, P48 - ZTF-Cam, PS1 - GPC1","Keck1 - LRIS","1","1","","18.686","g-ZTF","2021-01-07 09:30:12.672","ZTF_CLU_PUBLIC","",""
"74424","SN 2021M","14:14:14.735","+35:25:23.16","SN IIb","0.010929","[EKL2017] ECO 4874","0.010929","ALeRCE, ATLAS","ZTF, ATLAS","ZTF","ATLAS; ZTF","ZTF21aaabwfu","ATLAS1 - ACAM1, P48 - ZTF-Cam","Keck1 - LRIS","1","1","","19.0476","g-ZTF","2021-01-01 12:17:02.000","ALeRCE","",""
"73044","SN 2020acsk","09:42:51.546","+28:59:57.03","SN IIb","0.029","","","ATLAS, Pan-STARRS1","ATLAS, Pan-STARRS1","ePESSTO+","ATLAS; Pan-STARRS1","ATLAS20bikf","ATLAS1 - ACAM1, PS1 - GPC1","ESO-NTT - EFOSC2-NTT","1","1","","19.018","cyan-ATLAS","2020-12-14 12:12:57.600","ATLAS_Bot1","",""
"72673","SN 2020aceh","07:35:43.815","+11:15:53.85","SN IIb","0.040788","WISEA J073543.65+111554.1","","ALeRCE, ZTF","ZTF","ZTF","ZTF","ZTF20acwnqcy","P48 - ZTF-Cam","Keck1 - LRIS","1","1","","20.2141","g-ZTF","2020-12-10 10:48:17.997","ALeRCE","",""
"72656","SN 2020acdq","01:22:43.032","+26:52:04.14","SN IIb","0.030251","MRK 0356","0.030251","ALeRCE, ZTF, ATLAS, Pan-STARRS1","ZTF, ATLAS, Pan-STARRS1","ZTF","ATLAS; Pan-STARRS1; ZTF","ZTF20acwhpmj","ATLAS1 - ACAM1, P48 - ZTF-Cam, PS1 - GPC1","P200 - DBSP","1","1","","19.2785","r-ZTF","2020-12-10 05:16:07.997","ALeRCE","",""
"72579","SN 2020acat","11:50:41.225","-10:13:38.92","SN IIb","0.0079","","","ATLAS, ZTF, Pan-STARRS1, MASTER","ATLAS, ZTF, Pan-STARRS1, MASTER","ePESSTO+","ATLAS; MASTER; Pan-STARRS1; ZTF","ATLAS20bhfe","ATLAS1 - ACAM1, Other - Other, P48 - ZTF-Cam, PS1 - GPC1","ESO-NTT - EFOSC2-NTT","1","1","","18.48","orange-ATLAS","2020-12-09 15:07:12.000","ATLAS_Bot1","",""
"72158","SN 2020abkp","12:05:06.457","+56:33:30.99","SN IIb","0.030884","WISEA J120506.37+563331.2","0.030884","ALeRCE, ZTF, ATLAS","ZTF, ATLAS","ZTF","ATLAS; ZTF","ZTF20acusecr","ATLAS1 - ACAM1, P48 - ZTF-Cam","P200 - DBSP","1","1","","19.6319","r-ZTF","2020-12-02 11:23:31.004","ALeRCE","",""
