"ID","Name","RA","DEC","Obj. Type","Redshift","Host Name","Host Redshift","Reporting Group/s","Discovery Data Source/s","Classifying Group/s","Associated Group/s","Disc. Internal Name","Disc. Instrument/s","Class. Instrument/s","TNS AT","Public","End Prop. Period","Discovery Mag/Flux","Discovery Filter","Discovery Date (UT)","Sender","Remarks","Ext. catalog/s"
"4461","SN 2007qc","11:57:04.750","+53:29:55.28","SN Ia","","Anon.           ","","","","","","","","","0","1","","16.8","","2007-10-27 00:00:00.000","","[Discoverer=Yuan et al. (ROTSE); DiscoveryRef=CBET 1136; PositionRef=CBET 1136; Orig Type=Ia   ]",""
"4459","SN 2007qa","01:52:33.919","+01:14:38.69","SN Ia","","Anon.           ","","","","","","","","","0","1","","22.5","","2007-11-05 00:00:00.000","","[Discoverer=Sloan Digital Sky Survey II; DiscoveryRef=CBET 1135; PositionRef=CBET 1135; Orig Type=Ia   ]",""
"4457","SN 2007pz","03:30:25.181","+01:00:33.91","SN Ia","","Anon.           ","","","","","","","","","0","1","","20.9","","2007-11-04 00:00:00.000","","[Discoverer=Sloan Digital Sky Survey II; DiscoveryRef=CBET 1135; PositionRef=CBET 1135; Orig Type=Ia   ]",""
"4456","SN 2007py","03:29:31.601","+00:30:56.02","SN Ia","","Anon.           ","","","","","","","","","0","1","","22.4","","2007-11-04 00:00:00.000","","[Discoverer=Sloan Digital Sky Survey II; DiscoveryRef=CBET 1135; PositionRef=CBET 1135; Orig Type=Ia   ]",""
"4455","SN 2007px","00:22:44.009","-00:28:44.40","SN Ia","","Anon.           ","","","","","","","","","0","1","","23.1","","2007-11-02 00:00:00.000","","[Discoverer=Sloan Digital Sky Survey II; DiscoveryRef=CBET 1135; PositionRef=CBET 1135; Orig Type=Ia   ]",""
"4454","SN 2007pw","23:37:34.651","+00:14:53.20","SN Ia","","Anon.           ","","","","","","","","","0","1","","21.6","","2007-10-30 00:00:00.000","","[Discoverer=Sloan Digital Sky Survey II; DiscoveryRef=CBET 1135; PositionRef=CBET 1135; Orig Type=Ia   ]",""
"4453","SN 2007pv","21:59:45.151","+01:07:36.98","SN Ia","","Anon.           ","","","","","","","","","0","1","","21.5","","2007-10-30 00:00:00.000","","[Discoverer=Sloan Digital Sky Survey II; DiscoveryRef=CBET 1135; PositionRef=CBET 1135; Orig Type=Ia   ]",""
"4452","SN 2007pu","22:45:58.150","-00:38:55.39","SN Ia","","Anon.           ","","","","","","","","","0","1","","21.6","","2007-10-29 00:00:00.000","","[Discoverer=Sloan Digital Sky Survey II; DiscoveryRef=CBET 1135; PositionRef=CBET 1135; Orig Type=Ia   ]",""
"4451","SN 2007pt","02:07:38.510","-00:19:26.40","SN Ia","","Anon.           ","","","","","","","","","0","1","","20.5","","2007-10-29 00:00:00.000","","[Discoverer=Sloan Digital Sky Survey II; DiscoveryRef=CBET 1135; PositionRef=CBET 1135; Orig Type=Ia   ]",""
"4450","SN 2007ps","02:19:13.529","-00:23:05.39","SN Ia","","Anon.           ","","","","","","","","","0","1","","21.8","","2007-10-21 00:00:00.000","","[Discoverer=Sloan Digital Sky Survey II; DiscoveryRef=CBET 1135; PositionRef=CBET 1135; Orig Type=Ia   ]",""
"4449","SN 2007pr","23:06:13.030","+00:19:44.29","SN Ia","","Anon.           ","","","","","","","","","0","1","","22.9","","2007-10-20 00:00:00.000","","[Discoverer=Sloan Digital Sky Survey II; DiscoveryRef=CBET 1135; PositionRef=CBET 1135; Orig Type=Ia   ]",""
