"ID","Name","RA","DEC","Obj. Type","Redshift","Host Name","Host Redshift","Reporting Group/s","Discovery Data Source/s","Classifying Group/s","Associated Group/s","Disc. Internal Name","Disc. Instrument/s","Class. Instrument/s","TNS AT","Public","End Prop. Period","Discovery Mag/Flux","Discovery Filter","Discovery Date (UT)","Sender","Remarks","Ext. catalog/s"
"41473","SN 2019kzc","02:18:31.825","+02:54:21.09","SN Ia","0.078","","","ZTF, ATLAS","ZTF, ATLAS","ZTF","ATLAS; ZTF","ZTF19abfqhis","ATLAS1 - ACAM1, P48 - ZTF-Cam","P60 - SEDM","1","1","","18.68","g-ZTF","2019-07-10 10:43:40.000","ZTF_Bot1","",""
"41472","SN 2019kzb","00:24:14.779","-09:16:05.84","SN Ia","0.107","","","ZTF, Pan-STARRS1","ZTF, Pan-STARRS1","ZTF","Pan-STARRS1; ZTF","ZTF19abdkcib","P48 - ZTF-Cam, PS1 - GPC1","Lick-3m - KAST","1","1","","19.6","g-ZTF","2019-07-03 10:35:02.000","ZTF_Bot1","",""
"41471","SN 2019kza","19:39:52.930","+47:56:12.23","SN Ia","0.087","","","ZTF, GaiaAlerts","ZTF, GaiaAlerts","ZTF","GaiaAlerts; ZTF","ZTF18abdcudb","Gaia - Gaia-photometric, P48 - ZTF-Cam","P60 - SEDM","1","1","","20.04","g-ZTF","2019-07-01 05:39:50.000","ZTF_Bot1","",""
"41470","SN 2019kyz","16:42:24.740","+78:54:53.93","SN Ia","0.06","","","ZTF, ATLAS, Pan-STARRS1, GaiaAlerts","ZTF, ATLAS, Pan-STARRS1, GaiaAlerts","ZTF","ATLAS; GaiaAlerts; Pan-STARRS1; ZTF","ZTF19abeloei","ATLAS1 - ACAM1, Gaia - Gaia-photometric, P48 - ZTF-Cam, PS1 - GPC1","P60 - SEDM","1","1","","19.71","g-ZTF","2019-07-07 07:00:28.000","ZTF_Bot1","",""
"41469","SN 2019kyy","22:09:22.010","+44:58:29.96","SN Ia","0.041","","","ZTF, ATLAS, GaiaAlerts","ZTF, ATLAS, GaiaAlerts","ZTF","ATLAS; GaiaAlerts; ZTF","ZTF19abdyawn","ATLAS1 - ACAM1, Gaia - Gaia-photometric, P48 - ZTF-Cam","P60 - SEDM","1","1","","20.3","r-ZTF","2019-07-04 08:42:43.000","ZTF_Bot1","",""
"41468","SN 2019kyx","01:19:57.780","+02:14:39.98","SN Ia","0.04529","","","ZTF, ATLAS, GaiaAlerts, Pan-STARRS1","ZTF, ATLAS, GaiaAlerts, Pan-STARRS1","ZTF","ATLAS; GaiaAlerts; Pan-STARRS1; ZTF","ZTF19abfibel","ATLAS1 - ACAM1, Gaia - Gaia-photometric, P48 - ZTF-Cam, PS1 - GPC1","P60 - SEDM","1","1","","20.62","g-ZTF","2019-07-06 10:58:04.000","ZTF_Bot1","",""
"41378","SN 2019kvq","16:23:10.800","+00:48:38.59","SN Ia","0.058","","","ZTF, GaiaAlerts, ATLAS, Pan-STARRS1","ZTF, GaiaAlerts, ATLAS, Pan-STARRS1","ZTF","ATLAS; GaiaAlerts; Pan-STARRS1; ZTF","ZTF19abetjcx","ATLAS1 - ACAM1, Gaia - Gaia-photometric, P48 - ZTF-Cam, PS1 - GPC1","P60 - SEDM","1","1","","18.65","r-ZTF","2019-07-08 04:25:34.000","ZTF_AMPEL_COMPLETE","",""
"41375","SN 2019kvn","14:20:33.174","+25:20:33.96","SN Ia","0.08","","","ZTF","ZTF","TCD","ZTF","ZTF19abcunya","P48 - ZTF-Cam","LT - SPRAT","1","1","","19.55","r-ZTF","2019-07-05 04:29:59.000","ZTF_AMPEL_COMPLETE","",""
"41373","SN 2019kvl","16:30:01.297","+36:57:52.95","SN Ia","0.1","","","ATLAS, ZTF, Pan-STARRS1","ATLAS, ZTF, Pan-STARRS1","ZTF","ATLAS; Pan-STARRS1; ZTF","ATLAS19orm","ATLAS1 - ACAM1, P48 - ZTF-Cam, PS1 - GPC1","P60 - SEDM","1","1","","19.601","orange-ATLAS","2019-07-07 09:47:31.000","ATLAS_Bot1","",""
"41314","SN 2019ktf","23:32:29.893","-29:33:37.13","SN Ia","0.05","","","ATLAS, Pan-STARRS1","ATLAS, Pan-STARRS1","SCAT","ATLAS; Pan-STARRS1","ATLAS19oqd","ATLAS1 - ACAM1, PS1 - GPC1","UH88 - SNIFS","1","1","","19.17","cyan-ATLAS","2019-07-07 14:00:57.000","ATLAS_Bot1","",""
"41299","SN 2019ksq","21:19:39.617","-13:44:51.59","SN Ia","0.085","","","Pan-STARRS1, ZTF","Pan-STARRS1, ZTF","ZTF","Pan-STARRS1; ZTF","PS19dmc","P48 - ZTF-Cam, PS1 - GPC1","P200 - DBSP","1","1","","21.4","w-PS1","2019-07-04 12:11:31.000","PS1_Bot1","",""
"41280","SN 2019krx","17:48:04.420","+15:53:49.06","SN Ia","0.037","","","ZTF, ATLAS, GaiaAlerts, Pan-STARRS1","ZTF, ATLAS, GaiaAlerts, Pan-STARRS1","ZTF","ATLAS; GaiaAlerts; Pan-STARRS1; ZTF","ZTF19abdoznh","ATLAS1 - ACAM1, Gaia - Gaia-photometric, P48 - ZTF-Cam, PS1 - GPC1","P60 - SEDM","1","1","","18.34","g-ZTF","2019-07-05 07:56:23.000","ZTF_AMPEL_NEW","",""
"41278","SN 2019krv","22:14:43.884","+13:51:53.11","SN Ia","0.02617","","","ATLAS, ZTF, Pan-STARRS1","ATLAS, ZTF, Pan-STARRS1","ZTF","ATLAS; Pan-STARRS1; ZTF","ATLAS19ooz","ATLAS1 - ACAM1, P48 - ZTF-Cam, PS1 - GPC1","P60 - SEDM","1","1","","18.383","orange-ATLAS","2019-07-07 10:56:38.000","ATLAS_Bot1","",""
"41271","SN 2019kro","14:03:16.919","-23:31:51.77","SN Ia","0.114","","","ZTF","ZTF","BTDG","ZTF","ZTF19abdsqmf","P48 - ZTF-Cam","Magellan-Baade - IMACS","1","1","","19.36","r-ZTF","2019-07-05 04:32:57.000","ZTF_AMPEL_NEW","",""
"41226","SN 2019kpv","23:47:05.600","-34:42:35.06","SN Ia","0.0425","","","ATLAS, GaiaAlerts","ATLAS, GaiaAlerts","SCAT","ATLAS; GaiaAlerts","ATLAS19one","ATLAS1 - ACAM1, Gaia - Gaia-photometric","UH88 - SNIFS","1","1","","18.606","cyan-ATLAS","2019-07-05 13:13:26.000","ATLAS_Bot1","",""
"41219","SN 2019kpo","01:32:25.307","+34:30:05.46","SN Ia","0.0862","","","ZTF, ATLAS","ZTF, ATLAS","TCD, ZTF","ATLAS; ZTF","ZTF19abdkgns","ATLAS1 - ACAM1, P48 - ZTF-Cam","LT - SPRAT, P200 - DBSP","1","1","","19.58","r-ZTF","2019-07-03 11:25:54.000","ZTF_AMPEL_NEW","",""
"41209","SN 2019kpe","21:05:29.958","-20:51:08.51","SN Ia","0.085","","","ZTF","ZTF","ZTF","ZTF","ZTF19abdjwtv","P48 - ZTF-Cam","P200 - DBSP","1","1","","19.6","g-ZTF","2019-07-03 10:28:18.000","ZTF_AMPEL_NEW","",""
"41206","SN 2019kpb","14:37:07.555","+33:07:32.41","SN Ia","0.08751","","","ZTF, ATLAS, Pan-STARRS1","ZTF, ATLAS, Pan-STARRS1","ZTF","ATLAS; Pan-STARRS1; ZTF","ZTF19abcfzdy","ATLAS1 - ACAM1, P48 - ZTF-Cam, PS1 - GPC1","P60 - SEDM","1","1","","19.17","r-ZTF","2019-07-02 05:00:03.000","ZTF_AMPEL_NEW","",""
"41204","SN 2019koz","13:05:58.941","+08:19:59.13","SN Ia","0.06","","","ZTF","ZTF","ZTF","ZTF","ZTF19abdznxo","P48 - ZTF-Cam","APO-3.5m - DIS","1","1","","18.7","g-ZTF","2019-07-02 04:13:35.000","ZTF_AMPEL_NEW","",""
"41172","SN 2019knt","10:35:50.310","-34:16:22.40","SN Ia","0.012826","ESO 375- G 070","0.012826","ASAS-SN, GaiaAlerts, ATLAS","ASAS-SN, GaiaAlerts, ATLAS","None","ASAS-SN; ATLAS; GaiaAlerts","ASASSN-19qw","ASASSN-2 - Cassius, ASASSN-5 - Payne-Gaposchkin, ATLAS1 - ACAM1, Gaia - Gaia-photometric","SALT - RSS","1","1","","17.2","g-Sloan","2019-07-03 19:12:00.000","Stanek","",""
"41118","SN 2019klr","01:06:42.200","+49:14:03.93","SN Ia","0.025","","","ATLAS, ZTF","ATLAS, ZTF","ZTF","ATLAS; ZTF","ATLAS19omd","ATLAS1 - ACAM1, P48 - ZTF-Cam","P60 - SEDM","1","1","","18.433","cyan-ATLAS","2019-07-04 13:53:45.000","ATLAS_Bot1","",""
"41074","SN 2019kjz","01:18:44.735","+09:12:21.88","SN Ia","0.073","","","ZTF, ATLAS","ZTF, ATLAS","ZTF","ATLAS; ZTF","ZTF19abdkecj","ATLAS1 - ACAM1, P48 - ZTF-Cam","P60 - SEDM","1","1","","19.24","g-ZTF","2019-06-21 11:25:41.000","ZTF_AMPEL_COMPLETE","",""
"41069","SN 2019kju","12:12:41.079","+38:49:52.50","SN Ia","0.097","","","ZTF","ZTF","ZTF","ZTF","ZTF19abdduix","P48 - ZTF-Cam","P60 - SEDM","1","1","","19.27","r-ZTF","2019-07-03 04:56:01.000","ZTF_AMPEL_COMPLETE","",""
"41047","SN 2019kiy","17:39:16.763","+16:09:10.96","SN Ia","0.085","","","Pan-STARRS1, ZTF","Pan-STARRS1, ZTF","ZTF","Pan-STARRS1; ZTF","PS19djm","P48 - ZTF-Cam, PS1 - GPC1","","1","1","","19.52","w-PS1","2019-07-02 07:29:16.000","PS1_Bot1","",""
"41043","SN 2019kiu","22:41:52.572","+18:38:57.36","SN Ia","0.08","","","ZTF, ATLAS, Pan-STARRS1","ZTF, ATLAS, Pan-STARRS1","ZTF","ATLAS; Pan-STARRS1; ZTF","ZTF19abctnpk","ATLAS1 - ACAM1, P48 - ZTF-Cam, PS1 - GPC1","P60 - SEDM","1","1","","19.83","r-ZTF","2019-07-01 10:35:31.000","ZTF_AMPEL_NEW","",""
"41042","SN 2019kit","23:10:19.846","+22:47:49.50","SN Ia","0.055","","","ZTF, ATLAS","ZTF, ATLAS","ZTF","ATLAS; ZTF","ZTF19abdqaao","ATLAS1 - ACAM1, P48 - ZTF-Cam","P60 - SEDM","1","1","","20.55","g-ZTF","2019-07-01 11:23:40.000","ZTF_AMPEL_NEW","",""
"41002","SN 2019khf","11:41:27.500","-38:38:03.26","SN Ia","0.013756","TOLOLO 00091","0.013756","ASAS-SN, GaiaAlerts","ASAS-SN, GaiaAlerts","None","ASAS-SN; GaiaAlerts","ASASSN-19qr","ASASSN-2 - Cassius, ASASSN-3 - Paczynski, Gaia - Gaia-photometric","SALT - RSS","1","1","","17.3","g-Sloan","2019-07-03 00:43:12.000","Stanek","",""
"40993","SN 2019kgw","21:59:48.998","-27:09:04.37","SN Ia","0.0915","","","ZTF","ZTF","ZTF","ZTF","ZTF19abdjsss","P48 - ZTF-Cam","P60 - SEDM","1","1","","18.65","g-ZTF","2019-07-03 10:25:41.000","ZTF_AMPEL_NEW","",""
"40989","SN 2019kgs","00:39:51.919","-13:15:58.59","SN Ia","0.09","","","ZTF, Pan-STARRS1","ZTF, Pan-STARRS1","ZTF","Pan-STARRS1; ZTF","ZTF19abcejoa","P48 - ZTF-Cam, PS1 - GPC1","P60 - SEDM","1","1","","18.98","g-ZTF","2019-06-28 11:09:41.000","ZTF_AMPEL_NEW","",""
"40953","SN 2019kfj","16:31:14.599","+34:21:59.88","SN Ia","0.092","","","Pan-STARRS1, ZTF, ATLAS","Pan-STARRS1, ZTF, ATLAS","ZTF","ATLAS; Pan-STARRS1; ZTF","PS19dhv","ATLAS1 - ACAM1, P48 - ZTF-Cam, PS1 - GPC1","P60 - SEDM","1","1","","21.56","w-PS1","2019-07-01 10:43:40.000","PS1_Bot1","",""
"40897","SN 2019kdf","16:22:25.246","+44:47:08.46","SN Ia","0.0715","","","ZTF","ZTF","ZTF","ZTF","ZTF19abaukyt","P48 - ZTF-Cam","P60 - SEDM","1","1","","18.78","g-ZTF","2019-06-26 04:46:11.000","ZTF_AMPEL_COMPLETE","",""
"40889","SN 2019kcx","12:14:10.690","-00:50:45.71","SN Ia","0.025","","","ATLAS, ZTF, GaiaAlerts, Pan-STARRS1","ATLAS, ZTF, GaiaAlerts, Pan-STARRS1","None","ATLAS; GaiaAlerts; Pan-STARRS1; ZTF","ATLAS19oif","ATLAS1 - ACAM1, Gaia - Gaia-photometric, P48 - ZTF-Cam, PS1 - GPC1","Lick-3m - KAST","1","1","","17.375","cyan-ATLAS","2019-07-02 06:01:26.000","ATLAS_Bot1","",""
