"ID","Name","RA","DEC","Obj. Type","Redshift","Host Name","Host Redshift","Reporting Group/s","Discovery Data Source/s","Classifying Group/s","Associated Group/s","Disc. Internal Name","Disc. Instrument/s","Class. Instrument/s","TNS AT","Public","End Prop. Period","Discovery Mag/Flux","Discovery Filter","Discovery Date (UT)","Sender","Remarks","Ext. catalog/s"
"6411","SN 2014bn","21:15:13.301","+02:11:22.42","SN Ia","","IC 1370         ","","","","","","","","","0","1","","17.6","","2014-06-08 00:00:00.000","","[Discoverer=Ciabattari, Mazzoni, Petroni; DiscoveryRef=CBET 3897; PositionRef=CBET 3897; Orig Type=Ia]",""
"6410","SN 2014bm","17:42:32.160","+67:35:41.78","SN Ia","","NGC 6456        ","","","","","","","","","0","1","","17.4","","2014-06-06 00:00:00.000","","[Discoverer=Ciabattari, Mazzoni, Donati; DiscoveryRef=CBET 3896; PositionRef=CBET 3896; Orig Type=Ia]",""
"6407","SN 2014bj","19:22:39.149","+43:53:26.92","SN Ia","0.043","Anon.           ","","","","DAO_OTS","","","","Plaskett - Plaskett","0","1","","17.5","","2014-05-22 00:00:00.000","","[Discoverer=Yuk, Zheng, Filippenko (LOSS); DiscoveryRef=CBET 3893; PositionRef=CBET 3893; Orig Type=Ia]",""
"6405","SN 2014bh","12:24:56.681","+21:21:41.00","SN Ia","","Anon.           ","","","","","","","","","0","1","","17.4","","2014-05-22 00:00:00.000","","[Discoverer=Li, Li, Mo, Wang, Zhang (THU-NAOC Transient Survey); DiscoveryRef=CBET 3891; PositionRef=CBET 3891; Orig Type=Ia]",""
"6404","SN 2014bg","14:35:45.900","+24:43:17.90","SN Ia","0.036","UGC 9396        ","","","","DAO_OTS","","","","Plaskett - Plaskett","0","1","","17","","2014-06-05 00:00:00.000","","[Discoverer=Villi, Bombardini, Benazzi; DiscoveryRef=CBET 3890; PositionRef=CBET 3890; Orig Type=Ia]",""
"6402","SN 2014be","16:09:35.119","+42:26:30.41","SN Ia","","Anon.           ","","","","","","","","","0","1","","18.6","","2014-05-07 00:00:00.000","","[Discoverer=Li, Mo, Wang, Zhang (THU-NAOC Transient Survey); DiscoveryRef=CBET 3885; PositionRef=CBET 3885; Orig Type=Ia]",""
"6393","SN 2014aw","16:10:23.611","+47:04:40.30","SN Ia","","Anon.           ","","","","","","","","","0","1","","16.5","","2014-04-25 00:00:00.000","","[Discoverer=Drake et al. (Catalina Real-time Transient Survey); DiscoveryRef=CBET 3866; PositionRef=CBET 3866; Orig Type=Ia]",""
"6390","SN 2014at","21:46:14.820","-46:31:21.11","SN Ia","","NGC 7119        ","","","","","","","","","0","1","","16.3","","2014-04-20 00:00:00.000","","[Discoverer=Parker; DiscoveryRef=CBET 3862; PositionRef=CBET 3862; Orig Type=Ia]",""
"6387","SN 2014aq","11:12:34.721","+12:04:24.82","SN Ia","","Anon.           ","","","","","","","","","0","1","","17.7","","2014-04-14 00:00:00.000","","[Discoverer=Walker et al. (La Silla-Quest Survey); DiscoveryRef=CBET 3860; PositionRef=CBET 3860; Orig Type=Ia]",""
"6386","SN 2014ap","11:30:13.370","+24:10:07.21","SN Ia","","Anon.           ","","","","","","","","","0","1","","16.5","","2014-03-20 00:00:00.000","","[Discoverer=Ciabattari et al.; DiscoveryRef=CBET 3856; PositionRef=CBET 3856; Orig Type=Ia]",""
