"ID"    ,"Name"        ,"RA"           ,"DEC"          ,"Obj. Type" ,"Redshift" ,"Host Name"                  ,"Host Redshift" ,"Reporting Group/s"                              ,"Discovery Data Source/s"                        ,"Classifying Group/s"    ,"Associated Group/s"                             ,"Disc. Internal Name"   ,"Disc. Instrument/s"                                                                     ,"Class. Instrument/s"                      ,"TNS AT" ,"Public" ,"End Prop. Period" ,"Discovery Mag/Flux" ,"Discovery Filter" ,"Discovery Date (UT)"     ,"Sender"             ,"Remarks"                                                                                                                                                                                            ,"Ext. catalog/s"
"76923" ,"SN 2021cly"  ,"03:58:37.251" ,"-10:19:33.03" ,"SN Ib"     ,"0.037"    ,""                           ,""              ,"ATLAS, YSE"                                     ,"ATLAS, Pan-STARRS1"                             ,"UCSC"                   ,"ATLAS; Pan-STARRS1"                             ,"ATLAS21eii"            ,"ATLAS1 - ACAM1, PS1 - GPC1"                                                             ,"SOAR - Goodman"                           ,"1"      ,"1"      ,""                 ,"19.279"             ,"cyan-ATLAS"       ,"2021-02-03 07:35:02.400" ,"ATLAS_Bot1"         ,""                                                                                                                                                                                                   ,""
"74563" ,"SN 2021dx"   ,"03:19:34.953" ,"+04:45:36.48" ,"SN Ib"     ,"0.0436"   ,""                           ,""              ,"ZTF, Pan-STARRS1"                               ,"ZTF, Pan-STARRS1"                               ,"REFITT"                 ,"Pan-STARRS1; ZTF"                               ,"ZTF21aaaroyw"          ,"P48 - ZTF-Cam, PS1 - GPC1"                                                              ,"SOAR - Goodman"                           ,"1"      ,"1"      ,""                 ,"20.0088"            ,"r-ZTF"            ,"2021-01-02 05:36:57.600" ,"ZTF_CLU_PUBLIC"     ,""                                                                                                                                                                                                   ,""
"73562" ,"SN 2020admc" ,"11:54:06.074" ,"-39:51:52.69" ,"SN Ib"     ,"0.01"     ,""                           ,""              ,"ATLAS"                                          ,"ATLAS"                                          ,"ePESSTO+"               ,"ATLAS"                                          ,"ATLAS20bivy"           ,"ATLAS1 - ACAM1"                                                                         ,"ESO-NTT - EFOSC2-NTT"                     ,"1"      ,"1"      ,""                 ,"17.316"             ,"cyan-ATLAS"       ,"2020-12-22 15:02:52.800" ,"ATLAS_Bot1"         ,""                                                                                                                                                                                                   ,""
"73084" ,"SN 2020acty" ,"09:22:35.991" ,"+30:59:40.76" ,"SN Ib"     ,"0.047"    ,"WISE J092235.65+305937.5"   ,"0.04703"       ,"ALeRCE, YSE, ZTF, ATLAS, Pan-STARRS1, Fink"     ,"ZTF, Pan-STARRS1, ATLAS"                        ,"UCSC"                   ,"ATLAS; Pan-STARRS1; ZTF"                        ,"ZTF20acxqxyw"          ,"ATLAS1 - ACAM1, P48 - ZTF-Cam, PS1 - GPC1"                                              ,"Lick-3m - KAST"                           ,"1"      ,"1"      ,""                 ,"20.2009"            ,"g-ZTF"            ,"2020-12-15 09:27:01.996" ,"ALeRCE"             ,""                                                                                                                                                                                                   ,""
"72496" ,"SN 2020abxp" ,"00:24:30.620" ,"-11:05:05.36" ,"SN Ib"     ,"0.055"    ,""                           ,""              ,"ATLAS, Pan-STARRS1"                             ,"ATLAS, Pan-STARRS1"                             ,"ePESSTO+"               ,"ATLAS; Pan-STARRS1"                             ,"ATLAS20bhai"           ,"ATLAS1 - ACAM1, PS1 - GPC1"                                                             ,"ESO-NTT - EFOSC2-NTT"                     ,"1"      ,"1"      ,""                 ,"19.279"             ,"cyan-ATLAS"       ,"2020-12-07 06:44:38.400" ,"ATLAS_Bot1"         ,""                                                                                                                                                                                                   ,""
"72322" ,"SN 2020abqx" ,"11:52:24.664" ,"+67:32:51.88" ,"SN Ib"     ,""         ,""                           ,""              ,"ZTF, ATLAS, Pan-STARRS1"                        ,"ZTF, ATLAS, Pan-STARRS1"                        ,"Global SN Project"      ,"ATLAS; Pan-STARRS1; ZTF"                        ,"ZTF20acvebcu"          ,"ATLAS1 - ACAM1, P48 - ZTF-Cam, PS1 - GPC1"                                              ,"FTN - FLOYDS-N"                           ,"1"      ,"1"      ,""                 ,"19.22"              ,"g-ZTF"            ,"2020-12-03 12:50:24.000" ,"ZTF_Bot1"           ,""                                                                                                                                                                                                   ,""
"71761" ,"SN 2020aaxs" ,"13:58:33.938" ,"+37:27:11.52" ,"SN Ib"     ,"0.0115"   ,"NGC 5394"                   ,"0.011501"      ,"ALeRCE, ZTF"                                    ,"ZTF"                                            ,"ZTF"                    ,"ZTF"                                            ,"ZTF20acqvwzm"          ,"P48 - ZTF-Cam"                                                                          ,"P60 - SEDM"                               ,"1"      ,"1"      ,""                 ,"17.0483"            ,"g-ZTF"            ,"2020-11-25 12:11:08.002" ,"ALeRCE"             ,""                                                                                                                                                                                                   ,""
"71562" ,"SN 2020aaqf" ,"07:07:47.599" ,"+55:00:57.20" ,"SN Ib"     ,"0.036562" ,""                           ,""              ,"ATLAS"                                          ,"ATLAS"                                          ,"SCAT"                   ,"ATLAS"                                          ,"ATLAS20bfya"           ,"ATLAS1 - ACAM1"                                                                         ,"UH88 - SNIFS"                             ,"1"      ,"1"      ,""                 ,"19.257"             ,"cyan-ATLAS"       ,"2020-11-19 13:23:31.200" ,"ATLAS_Bot1"         ,""                                                                                                                                                                                                   ,""
"70725" ,"SN 2020zlg"  ,"11:09:55.735" ,"+36:56:44.74" ,"SN Ib"     ,"0.03"     ,"MSPM 00900"                 ,"0.0295"        ,"ALeRCE, ZTF, Pan-STARRS1"                       ,"ZTF, Pan-STARRS1"                               ,"ZTF"                    ,"Pan-STARRS1; ZTF"                               ,"ZTF20acpzaoa"          ,"P48 - ZTF-Cam, PS1 - GPC1"                                                              ,"Keck1 - LRIS"                             ,"1"      ,"1"      ,""                 ,"19.9564"            ,"g-ZTF"            ,"2020-11-12 12:22:21.999" ,"ALeRCE"             ,""                                                                                                                                                                                                   ,""
"70499" ,"SN 2020zcp"  ,"02:57:10.537" ,"-00:50:13.40" ,"SN Ib"     ,"0.043"    ,""                           ,""              ,"Pan-STARRS1, YSE, ATLAS"                        ,"Pan-STARRS1, ATLAS"                             ,"YSE"                    ,"ATLAS; Pan-STARRS1"                             ,"PS20kxl"               ,"ATLAS1 - ACAM1, PS1 - GPC1"                                                             ,"NOT - ALFOSC"                             ,"1"      ,"1"      ,""                 ,"20.45"              ,"w-PS1"            ,"2020-11-08 08:05:16.800" ,"PS1_Bot1"           ,""                                                                                                                                                                                                   ,""
